LR.Index	CellChat	CytoTalk	celltalkdb
Cdh1_Igf1r	0	1	1
Cdh1_Itga2	1	0	0
Cdh1_Itgae	1	1	1
Cdh1_Itgb1	1	0	0
Cdh1_Itgb7	1	1	1
Cdh1_Klrg1	1	0	1
Cdh1_Ptprf	0	1	0
Cdh1_Ptprj	0	0	1
Cdh1_Ptprm	0	1	1
Cdh2_Cdh2	1	0	0
Cdh4_Cdh4	1	0	0
Cdh5_Cdh5	1	0	0
Ceacam16_Tecta	0	0	1
Ceacam16_Tectb	0	0	1
Ceacam1_Ceacam5	1	0	0
Ceacam1_Havcr2	0	1	0
Ceacam1_Plaur	0	0	1
Ceacam1_Sdc4	0	0	1
Ceacam2_Havcr2	0	1	0
Cel_Cxcr4	0	1	1
Cfh_Itgam	0	1	1
Cfh_Sell	0	1	1
Cga_Fshr	1	1	0
Cga_Lhcgr	1	1	0
Cga_Tshr	1	1	0
Cgn_F11r	0	1	0
Chad_Itga2	1	1	1
Chad_Itgb1	1	1	1
Clcf1_Cntfr	1	1	1
Clcf1_Crlf1	0	1	1
Clcf1_Il6st	1	1	1
Clcf1_Lifr	1	1	0
Cldn11_Cldn11	1	0	0
Clec2d_Klrb1b	1	0	1
Clec2f_Klrb1f	1	0	0
Clec2g_Klrb1	1	0	0
Clec2g_Klrb1f	1	0	0
Clec2h_Klrb1	1	0	0
Clec2i_Klrb1	1	0	0
Clec2i_Klrb1f	1	0	0
Clec4g_Lag3	0	1	0
Clec4g_Tyrobp	0	0	1
Clu_Lrp2	0	0	1
Clu_Lrp8	0	0	1
Clu_Vldlr	0	0	1
Cntf_Cntfr	1	1	1
Cntf_Il6ra	0	1	0
Cntf_Il6st	1	1	1
Cntf_Lifr	1	1	0
Cntn1_Nrcam	1	0	0
Cntn2_Cntn1	0	1	1
Cntn2_Cntn2	1	0	0
Cntn2_Cntnap2	1	1	0
Cntn2_L1cam	1	0	0
Cntn2_Nrcam	0	1	0
Cntn2_Nrp1	0	0	1
Cntn4_Ptprg	0	1	0
Cntn6_Notch1	0	0	1
Col11a1_Ddr1	0	1	0
Col14a1_Cd44	0	1	0
Col18a1_Gpc1	0	1	1
Col18a1_Gpc4	0	1	1
Col18a1_Itga5	0	1	0
Col18a1_Itgb1	0	1	0
Col18a1_Itgb5	0	0	1
Col18a1_Kdr	0	1	0
Col1a1_Cd36	0	1	0
Col1a1_Cd44	1	1	1
Col1a1_Cd93	0	1	1
Col1a1_Ddr1	0	1	0
Col1a1_Ddr2	0	1	0
Col1a1_Gp6	1	0	0
Col1a1_Itga1	1	0	0
Col1a1_Itga10	1	0	0
Col1a1_Itga11	1	1	0
Col1a1_Itga2	1	1	0
Col1a1_Itga3	1	0	0
Col1a1_Itga5	0	1	0
Col1a1_Itga9	1	0	0
Col1a1_Itgav	1	0	0
Col1a1_Itgb1	1	1	1
Col1a1_Itgb8	1	0	0
Col1a1_Sdc1	1	0	0
Col1a1_Sdc4	1	0	0
Col1a1_Tmprss6	0	1	0
Col1a2_Cd36	0	1	0
Col1a2_Cd44	1	1	1
Col1a2_Cd93	0	1	1
Col1a2_Gp6	1	0	0
Col1a2_Itga1	1	0	0
Col1a2_Itga10	1	0	0
Col1a2_Itga11	1	0	0
Col1a2_Itga2	1	1	1
Col1a2_Itga2b	0	1	0
Col1a2_Itga3	1	0	0
Col1a2_Itga9	1	0	0
Col1a2_Itgav	1	0	0
Col1a2_Itgb1	1	0	1
Col1a2_Itgb3	0	1	0
Col1a2_Itgb8	1	0	0
Col1a2_Sdc1	1	0	0
Col1a2_Sdc4	1	0	0
Col2a1_Cd44	1	0	0
Col2a1_Ddr1	0	1	0
Col2a1_Gp6	1	0	0
Col2a1_Itga1	1	0	1
Col2a1_Itga10	1	1	0
Col2a1_Itga11	1	0	0
Col2a1_Itga2	1	1	1
Col2a1_Itga2b	0	1	1
Col2a1_Itga3	1	0	0
Col2a1_Itga9	1	0	0
Col2a1_Itgav	1	0	1
Col2a1_Itgb1	1	1	0
Col2a1_Itgb8	1	0	0
Col2a1_Mag	0	1	1
Col2a1_Sdc1	1	0	0
Col2a1_Sdc4	1	0	0
Col2a1_Tnfrsf10b	0	1	0
Col3a1_Ddr1	0	1	0
Col3a1_Ddr2	0	1	1
Col3a1_Itgb1	0	0	1
Col3a1_Mag	0	1	1
Col4a1_Cd44	1	0	0
Col4a1_Cd93	0	1	1
Col4a1_Gp6	1	0	0
Col4a1_Itga1	1	1	0
Col4a1_Itga10	1	0	0
Col4a1_Itga11	1	0	0
Col4a1_Itga2	1	0	0
Col4a1_Itga3	1	0	0
Col4a1_Itga9	1	0	0
Col4a1_Itgav	1	1	0
Col4a1_Itgb1	1	1	1
Col4a1_Itgb8	1	1	0
Col4a1_Sdc1	1	0	0
Col4a1_Sdc4	1	0	0
Col4a2_Cd44	1	0	0
Col4a2_Cd93	0	1	1
Col4a2_Gp6	1	0	0
Col4a2_Itga1	1	0	0
Col4a2_Itga10	1	0	0
Col4a2_Itga11	1	0	0
Col4a2_Itga2	1	0	0
Col4a2_Itga3	1	0	0
Col4a2_Itga9	1	0	0
Col4a2_Itgav	1	0	0
Col4a2_Itgb1	1	0	1
Col4a2_Itgb8	1	0	0
Col4a2_Sdc1	1	0	0
Col4a2_Sdc4	1	0	0
Col4a3_Cd44	1	0	0
Col4a3_Cd47	0	1	0
Col4a3_Cd93	0	1	0
Col4a3_Gp6	1	0	0
Col4a3_Itga1	1	0	0
Col4a3_Itga10	1	0	0
Col4a3_Itga11	1	0	0
Col4a3_Itga2	1	0	1
Col4a3_Itga3	1	0	0
Col4a3_Itga9	1	0	0
Col4a3_Itgav	1	1	0
Col4a3_Itgb1	1	0	1
Col4a3_Itgb8	1	0	0
Col4a3_Sdc1	1	0	0
Col4a3_Sdc4	1	0	0
Col4a4_Cd44	1	0	0
Col4a4_Cd93	0	1	1
Col4a4_Gp6	1	0	0
Col4a4_Itga1	1	0	0
Col4a4_Itga10	1	0	0
Col4a4_Itga11	1	0	0
Col4a4_Itga2	1	0	0
Col4a4_Itga3	1	0	0
Col4a4_Itga9	1	0	0
Col4a4_Itgav	1	0	0
Col4a4_Itgb1	1	0	1
Col4a4_Itgb8	1	0	0
Col4a4_Sdc1	1	0	0
Col4a4_Sdc4	1	0	0
Col4a5_Cd44	1	0	0
Col4a5_Cd93	0	1	0
Col4a5_Gp6	1	0	0
Col4a5_Itga1	1	0	0
Col4a5_Itga10	1	0	0
Col4a5_Itga11	1	0	0
Col4a5_Itga2	1	0	0
Col4a5_Itga3	1	0	0
Col4a5_Itga9	1	0	0
Col4a5_Itgav	1	0	0
Col4a5_Itgb1	1	0	1
Col4a5_Itgb8	1	0	0
Col4a5_Sdc1	1	0	0
Col4a5_Sdc4	1	0	0
Col4a6_Cd44	1	0	0
Col4a6_Cd93	0	1	1
Col4a6_Gp6	1	0	0
